Baukasten!B4,,,,,,,,,,,,,,,,,,,
Notizen,Anwendungsfall,Lfd. Nummer,Version,Bauteilnamen,Bauteilkategorie,Hersteller,Typ,Eigenschaft 1,Wert 1,Eigenschaft 2,Wert 2,Eigenschaft 3,Wert 3,Ablageort konstruktiv,Ablageort steuerungstechnisch,Ablageort prüftechnisch,Ablageort robotertechnisch,Sonstiges:,Spalte1
,,200000,0,KR 6 R900-2,Roboter,KUKA,KR 6 R900-2,Traglast [kg],6.00,Reichweite [mm],900,Eigengewicht [kg],55,DIS: IAM 3016887,"V:\BMB\Team\ST\WSCAD Electrix Rocket\Libraries\KUKA\KR6
V:\BMB\Team\ST\Dokumente\01 Beschreibungen\KUKA\KR6",-,,Datenblatt/Read Me,
,,Baukasten!B4,0,KR 4 R600 ,Roboter,KUKA,KR 4 R600,Traglast [kg],4.00,Reichweite [mm],,Eigengewicht [kg],,DIS: IAM 3040634,V:\BMB\Team\ST\WSCAD Electrix Rocket\Libraries\KUKA\KR4 V:\BMB\Team\ST\Dokumente\01 Beschreibungen\KUKA\KR4,-,,Datenblatt/Read Me,
Unterschiedliche Bezeichnungen,,Baukasten!B5,0,Verbindungskabel KUKA - SPS 10m,Roboterequipment (KUKA),KUKA,SPP Verbindungskabel 10m,Länge [m],10.00,-,-,-,-,-,-,-,-,Datenblatt ,
,,200003,0,Verbindungskabel KUKA - SPS 10m,Roboterequipment (KUKA),KUKA,SPP Verbindungskabel 5m,Länge [m],5.00,-,-,-,-,-,-,-,-,Datenblatt,
,,200004,0,PROFINET für KUKA,Robotersoftware (KUKA),KUKA,KUKA.PRFINET -/S 6.0,Protokoll,PROFINET,-,-,-,-,-,-,-,-,Read Me,
,,200005,0,Werkzeugsteuerung KUKA,Robotersoftware (KUKA),KUKA,KUKA.GripperSpotTech 5.0,-,,-,-,-,-,-,-,-,-,Read Me,
,,200006,0,Anschlusspaket SPS-KUKA,Roboterequipment (KUKA),KUKA,,Länge [m],,-,-,-,-,-,-,-,-,Read Me,
,,200007,0,KUKA Hauptprogramm,Robotersoftware (KUKA),DEHN - ST,cell_src,Ansprechpartner,KIH/DAA,Software,WorkVisual,-,,-,-,-,V:\BMB\Team\VORR\1040855 - FRED 3038260\ST\KUKA\04 Rob,Read Me,
,,200008,0,KUKA_EA_Fred 11 Pal_Rob,Roboterdokumente (KUKA),DEHN - ST,Profinet I/O-Tabelle,Ansprechpartner,KIH/DAA,-,-,-,-,-,-,-,V:\BMB\Team\VORR\1040855 - FRED 3038260\ST\KUKA\04 Rob,Read Me,
,,200009,0,SPS Bib - DMC-Code auswerten,SPS-Baustein (SIEMENS),DEHN - ST,FC Etik Kam DMC,Ansprechpartner,KIH/THP/NBR/...,Version,V18 Upd.3,Bibliothekskonformität,Ja,-,V:\BMB\Team\ST\TIA Bibliotheken\V18\ST_Favoriten_V18,-,-,Read Me,
,,200010,0,SPS Bib- Etikett Typ erkennen,SPS-Baustein (SIEMENS),DEHN - ST,FC Etik Kam Etik,Ansprechpartner,KIH/THP/NBR/...,Version,V18 Upd.3,Bibliothekskonformität,Ja,-,V:\BMB\Team\ST\TIA Bibliotheken\V18\ST_Favoriten_V18,-,-,Read Me,
,,200011,0,SPS Bib - Versatz für Etikett,SPS-Baustein (SIEMENS),DEHN - ST,FC Etik Kam Versatz,Ansprechpartner,KIH/THP/NBR/...,Version,V18 Upd.3,Bibliothekskonformität,Ja,-,V:\BMB\Team\ST\TIA Bibliotheken\V18\ST_Favoriten_V18,-,-,Read Me,
,,200012,0,SPS Bib - Etikettieren Rob Datenaustausch,SPS-Baustein (SIEMENS),DEHN - ST,FC Etik Rob Datenaustausch,Ansprechpartner,KIH/THP/NBR/...,Version,V18 Upd.3,Bibliothekskonformität,Ja,-,V:\BMB\Team\ST\TIA Bibliotheken\V18\ST_Favoriten_V18,-,-,Read Me,
,,200013,0,Job Etikett-versetzen/Versatz ermitteln,Job (SensoPart),DEHN - ST,Job Etikett_versetzen,Ansprechpartner,KIH/HAC/NBR,Version,2.8.2.1,Bibliothekskonformität,Ja,-,S:\D+S\Collaboration\Kamerapruefung\Programme etc\Job_Fred,-,-,Read Me,
,,200014,0,Job DMC-Code lesen,Job (SensoPart),DEHN - ST,Job DMC_Code lesen,Ansprechpartner,KIH/HAC/NBR,Version,2.8.2.1,Bibliothekskonformität,Ja,-,S:\D+S\Collaboration\Kamerapruefung\Programme etc\Job_Fred,-,-,Read Me,
,,200015,0,Job EtikettTyp erkennen,Job (SensoPart),DEHN - ST,Job_EtikettTyp,Ansprechpartner,KIH/HAC/NBR,Version,2.8.2.1,Bibliothekskonformität,Ja,-,S:\D+S\Collaboration\Kamerapruefung\Programme etc\Job_Fred,-,-,Read Me,
,,200016,0,Jobsatz Etikett applizieren,Jobsatz (SensoPart),DEHN - ST,Job_Etikett applizieren,Ansprechpartner,KIH/HAC/NBR,Version,2.8.2.1,Bibliothekskonformität,Ja,-,S:\D+S\Collaboration\Kamerapruefung\Programme etc\Job_Fred,-,-,Read Me,
,,200017,0,SPS Bib - Ablauf Druck,SPS-Baustein (SIEMENS),DEHN - ST,FB Etik Druck,Ansprechpartner,KIH/THP/NBR/...,Version,V18 Upd.3,Bibliothekskonformität,Nein,-,V:\BMB\Team\ST\TIA Bibliotheken\V18\ST_Favoriten_V18,-,-,Read Me,
,,200018,0,SPS Bib - Ablauf Kamera,SPS-Baustein (SIEMENS),DEHN - ST,FB Etik Kam,Ansprechpartner,KIH/THP/NBR/...,Version,V18 Upd.3,Bibliothekskonformität,Nein,-,V:\BMB\Team\ST\TIA Bibliotheken\V18\ST_Favoriten_V18,-,-,Read Me,
,,200019,0,SPS Bib - Kommunikation Roboter,SPS-Baustein (SIEMENS),DEHN - ST,"FB Etik Rob Ansteuerung, FB Etik Rob Handshake, FB Etik Rob Job_ausw",Ansprechpartner,KIH/THP/NBR/...,Version,V18 Upd.3,Bibliothekskonformität,Nein,-,V:\BMB\Team\ST\TIA Bibliotheken\V18\ST_Favoriten_V18,-,-,Read Me,
,,200020,0,Kuka Fkt - Produktionsbetrieb,Roboterprogramm (KUKA),DEHN - ST,Bearbeitungsprogramme(),Ansprechpartner,KIH/DAA,Software,WorkVisual,-,-,-,-,-,V:\BMB\Team\VORR\1040855 - FRED 3038260\ST\KUKA\04 Rob,Read Me,
,,200021,0,Kuka Fkt - Etikett aufnehmen (Topex),Roboterprogramm (KUKA),DEHN - ST,UP_Abhol_Topex(),Ansprechpartner,KIH/DAA,Software,WorkVisual,-,-,-,-,-,V:\BMB\Team\VORR\1040855 - FRED 3038260\ST\KUKA\04 Rob,Read Me,
,,200022,0,Kuka Fkt - Etikett ausrichten/aufbringen (Topex),Roboterprogramm (KUKA),DEHN - ST,UP_Einleg_DT(),Ansprechpartner,KIH/DAA,Software,WorkVisual,-,-,-,-,-,V:\BMB\Team\VORR\1040855 - FRED 3038260\ST\KUKA\04 Rob,Read Me,
,,200023,0,Kuka Fkt - Etikett anbürsten (Topex),Roboterprogramm (KUKA),DEHN - ST,UP_Buersten(),Ansprechpartner,KIH/DAA,Software,WorkVisual,-,-,-,-,-,V:\BMB\Team\VORR\1040855 - FRED 3038260\ST\KUKA\04 Rob,Read Me,
,,200024,0,Kuka Fkt - Automatische Homefahrt,Roboterprogramm (KUKA),DEHN - ST,MoveHome(nHome:IN),Ansprechpartner,KIH/DAA,Software,WorkVisual,-,-,-,-,-,V:\BMB\Team\VORR\1040855 - FRED 3038260\ST\KUKA\04 Rob,Read Me,
,,200025,0,SIEMENS CPU,Hardware SPS,SIEMENS,CPU 1516-3 PN/DP,Protokoll,PROFINET,Software,Siemens Tia Portal,-,-,-,"V:\BMB\Team\ST\WSCAD Electrix Rocket\Libraries\Siemens
V:\BMB\Team\ST\Dokumente\01 Beschreibungen\Siemens\CPU",-,-,Read Me,
,,200026,0,SENSOPART Kamera,Vision Sensoren,SENSOPART,V 20 C Allround,Umfang,Professional,Version,2.10.1.4,Lichtfarbe,Weiß,DIS: 3029556,"V:\BMB\Team\ST\WSCAD Electrix Rocket\Libraries\Topex
V:\BMB\Team\ST\Dokumente\01 Beschreibungen\Symbole ST\Sensopart",,-,Read Me,
,,200027,0,TOPEX Drucker,Etikettendrucker,TOPEX,TOPEX 7200/7250 ZEBRA-Treiber,Ansprechpartner,ZEA/NBR,Version,7200/7250,-,Ja,DIS: 3040506,"V:\BMB\Team\ST\WSCAD Electrix Rocket\Libraries\Topex
V:\BMB\Team\ST\Dokumente\01 Beschreibungen\Topex",-,-,Read Me,
,,200028,0,NL Config - SPS_TCP/IP_NiceLabel,NiceLabel,Loftware,SPS_TCP/IP_FRED,Ansprechpartner,ZEA/NBR/LWA,Treiberversion,V10.5,Bibliothekskonformität,Ja,-,"\\de-nm1-label01@SSL@8080\DavWWWRoot\AutomationConfig
V:\BMB\Team\ST\Dokumente\01 Beschreibungen\NiceLabel",-,-,Read Me,
Hardware SPS bereits oben aufgeführt,,200029,0,SPS-Bib - Kommunikationsbaustein PS - SPS,SPS-Baustein (SIEMENS),DEHN-ST,FB PS_COM,Ansprechpartner,NBR/JWA,Version,V18 Upd.3,Bibliothekskonformität,Ja,,,,,,
,,200030,0,COM PS Datentyp für Lesen Auftrag,SPS-Datentyp (SIEMENS),DEHN-ST,typ Lesen_Auftrag,Ansprechpartner,NBR/JWA,Version,V18 Upd.3,Bibliothekskonformität,Ja,,,,,,
,,200031,0,COM PS Datentyp für Status SPS,SPS-Datentyp (SIEMENS),DEHN-ST,typ Lesen Status_SPS,Ansprechpartner,NBR/JWA,Version,V18 Upd.3,Bibliothekskonformität,Ja,,,,,,
,,200032,0,COM PS Datentyp für Lesen Prüfmerkmale,SPS-Datentyp (SIEMENS),DEHN-ST,typ Lesen_Pruefmerkmale,Ansprechpartner,NBR/JWA,Version,V18 Upd.3,Bibliothekskonformität,Ja,,,,,,
,,200033,0,COM PS Datentyp für Status PS,SPS-Datentyp (SIEMENS),DEHN-ST,typ Schreiben_Status_PS,Ansprechpartner,NBR/JWA,Version,V18 Upd.3,Bibliothekskonformität,Ja,,,,,,
,,200034,0,COM PS Datenbaustein ,SPS-Datenbaustein (SIEMENS),DEHN - ST,DB Station_PS,Ansprechpartner,NBR/JWA,Version,V18 Upd.3,Bibliothekskonformität,Ja,,,,,,
,,200035,0,Ablauf statischer Pruefablauf,SPS-Baustein (SIEMENS),DEHN - ST,FB Pruef_stat,Ansprechpartner,NBR/JWA,Version,V18 Upd.3,Bibliothekskonformität,Ja,,,,,,
Verlinkung anderer Hauptprozess,,200036,0,Konstruktion statische Prüfstation...,,,,,,,,,,,,,,,
Verlinkung anderer Hauptprozess,,200037,0,,,,,,,,,,,,,,,,
Verlinkung anderer Hauptprozess,,200038,0,,,,,,,,,,,,,,,,
,,200039,0,Kontaktierung Prüfling,Prüfsystem,DEHN - PT,Prüfsystem,Ansprechpartner,DEHN PT,,,,,,,,,,
,,200040,0,Hardware PS ,Prüfsystem,DEHN - PT,Prüfsystem,Ansprechpartner,DEHN PT,,,,,,,,,Aufbau & Art ,
,,200041,0,"PC DMC-Code abgleichen, DMC Reader Typ? ",Prüfsystem,DEHN - PT,Tester Control ,Ansprechpartner,AW/JWA,Software,,,,,,,,,
,,Baukasten!B3,0,PC Lohnschein abgleich,Prüfsystem,DEHN - PT,Tester Control,Ansprechpartner,AW/JWA,Software,,,,,,,,,
,,200043,0,PC Gesamtbeurteilung (DMC+Merkmale),Prüfsystem,DEHN - PT,Tester Control,Ansprechpartner,AW/JWA,Software,,,,,,,,,
,,Baukasten!B5,0,,,,,,,,,,,,,,,,
,,200031,0,,,,,,,,,,,,,,,,
,,200032,0,UR10e,Roboter,Universal Robots,UR10e,Traglast [kg],12.5,Reichweite [mm],1300,Eigengewicht [kg],33.5,DIS: 3019486,,,,,
,,200033,0,SENSOPART Robotic Kamera,Vision Sensoren,SENSOPART,V20-RO-P3-W-N-M2-L,Umfang,Professional,Auflösung,V20,Lichtfarbe,Weiß,,,,,,
,,200034,0,PN Schnittstelle SPS-UR,Schnittstelle,SIEMENS,PROFINET,Protokoll,PROFINET,-,-,-,-,,,,,,
,,200035,0,UR Job - Depalettierung,Job (UR),DEHN - REZ,Job_13_Haube_abholen,Ansprechpartner,REZ,-,-,-,-,,,,,,
,,200036,0,UR Job - Greiferaufnahme/-ablage,Job (UR),DEHN - REZ,Job_21_Sauger_Hauben_aufnehmen,Ansprechpartner,REZ,-,-,-,-,,,,,,
,,200037,0,UR Job - Kistenhandling,Job (UR),DEHN - REZ,Job_04_Volle_Kiste_holen,Ansprechpartner,REZ,-,-,-,-,,,,,,
,,200038,0,UR Job - Bauteilablage,Job (UR),DEHN - REZ,Job_04_Volle_Kiste_holen,Ansprechpartner,REZ,-,-,-,-,,,,,,
,,200039,0,UR Makro - Kamerageführte Bauteilentnahme,Makro(UR),DEHN - REZ,Greifen_Mit_Kamera.skript,Ansprechpartner,REZ,-,-,-,-,,,,,,
,,200040,0,UR Makro - Depalettierung über Interpolation,Makro(UR),DEHN - REZ,Depalettierung.skript,Ansprechpartner,REZ,,-,,-,,,,,,
,,200041,0,Sensopart Job - 4TE Haube,Job (SensoPart),DEHN - REZ,Job 4TE_Haube,Ansprechpartner,REZ,-,-,-,-,,S:\D+S\Collaboration\Kamerapruefung\Programme etc,,,,
,,Baukasten!B3,0,SIEMENS CPU,Hardware SPS,SIEMENS,CPU 1515-2 PN,Ansprechpartner,KIH,-,-,-,-,,,,,,
,,200043,0,UR_5_T20_BitRegisters,SPS-Datentyp (SIEMENS),SIEMENS,typ UR Output/Input Register,Ansprechpartner,THP,Version,V18 Upd.3,Bibliothekskonformität,Ja,,V:\BMB\Team\ST\TIA Bibliotheken\V18\ST_Favoriten_V18,,,,
,,Baukasten!B5,0,UR_6_T20_IntRegisters,SPS-Datentyp (SIEMENS),SIEMENS,typ UR Output/Input Register,Ansprechpartner,THP,Version,V18 Upd.3,Bibliothekskonformität,Ja,,V:\BMB\Team\ST\TIA Bibliotheken\V18\ST_Favoriten_V18,,,,
,,200031,0,DB Rob Infos,SPS-Datenbaustein (SIEMENS),SIEMENS,DB Rob Infos,Ansprechpartner,THP,Version,V18 Upd.3,Bibliothekskonformität,Ja,,V:\BMB\Team\ST\TIA Bibliotheken\V18\ST_Favoriten_V18,,,,
,,200032,0,DB Rob Inputs,SPS-Datenbaustein (SIEMENS),SIEMENS,DB Rob Inputs,Ansprechpartner,THP,Version,V18 Upd.3,Bibliothekskonformität,Ja,,V:\BMB\Team\ST\TIA Bibliotheken\V18\ST_Favoriten_V18,,,,
,,200033,0,DB Rob Outputs,SPS-Datenbaustein (SIEMENS),SIEMENS,DB Rob Outputs,Ansprechpartner,THP,Version,V18 Upd.3,Bibliothekskonformität,Ja,,V:\BMB\Team\ST\TIA Bibliotheken\V18\ST_Favoriten_V18,,,,
,,200034,0,FC Rob Datenschubsen,SPS-Baustein (SIEMENS),SIEMENS,FC Rob Datenschubsen,Ansprechpartner,THP,Version,V18 Upd.3,Bibliothekskonformität,Ja,,V:\BMB\Team\ST\TIA Bibliotheken\V18\ST_Favoriten_V18,,,,
,,200035,0,FB Höhen ermitteln,SPS-Baustein (SIEMENS),SIEMENS,FB Höhen ermitteln,Ansprechpartner,THP,Version,V18 Upd.3,Bibliothekskonformität,Ja,,V:\BMB\Team\ST\TIA Bibliotheken\V18\ST_Favoriten_V18,,,,
,,200036,0,FB Rob Ansteuerung,SPS-Baustein (SIEMENS),SIEMENS,FB Rob Ansteuerung,Ansprechpartner,THP,Version,V18 Upd.3,Bibliothekskonformität,Ja,,V:\BMB\Team\ST\TIA Bibliotheken\V18\ST_Favoriten_V18,,,,
,,200037,0,FB Rob Handshake,SPS-Baustein (SIEMENS),SIEMENS,FB Rob Handshake,Ansprechpartner,THP,Version,V18 Upd.3,Bibliothekskonformität,Ja,,V:\BMB\Team\ST\TIA Bibliotheken\V18\ST_Favoriten_V18,,,,
,,200038,0,FB Rob Job ausw,SPS-Baustein (SIEMENS),SIEMENS,FB Rob Job ausw,Ansprechpartner,THP,Version,V18 Upd.3,Bibliothekskonformität,Ja,,V:\BMB\Team\ST\TIA Bibliotheken\V18\ST_Favoriten_V18,,,,
,,200039,0,FB für Ansteuerung Pneumatik,SPS-Baustein (SIEMENS),SIEMENS,,Protokoll,IO-LINK,,,,,,,,,,
,,200040,0,IFM Abstandsensor ,Optischer Sensor,IFM,OGD580,Reichweite,"0,03-1,5 m",Anschluss,"M12x1, X-polig, A-Codiert",Lichtart,Rotlicht,DIS: 3020057_000_01,,,,,
,,200041,0,Befestigung Topex-Drucker,Mechanische Anbindung,DEHN,Für TOPEX 7200/7250,Lage,Horizontal,Ausrichtung,Stehend,,,DIS: 3040988_000_00,,,,,
,,Baukasten!B3,0,Vakuumerzeugung Roboter,Pneumatiksystem,DEHN,Vakuumdüse mit Befestigung für KUKA KR4 auf Unterarm,Art,Vakkumerzeuger,Befestigung,An Roboter,,,DIS: 3040634_000_00,,,,,
,,200043,0,Etikettenaufnahme plus Andrückbesen,Greifer/Sauger,DEHN,Etikettensauger DG,Werkstück,Etiketten,Robotertyp,KUKA KR 4 R600,Zusatzfunktion,Andrückbesen,DIS: 3050252_000_00,,,,,
,,Baukasten!B5,0,Kameraaufnahme,Mechanische Anbindung,DEHN,Sensopart V-Serie mit Schwalbenschwanzaufnahme,Lage,Vertikal,Ausrichtung,Stehend,,,DIS: 3040795_000_00,,,,,
,,200031,0,SPS Bib - Kommunikation NiceLabel,SPS-Baustein (SIEMENS),DEHN,FB NiceLabel,Ansprechpartner,NBR,Version,V18 Upd.3,Bibliothekskonformität,Ja,,V:\BMB\Team\ST\TIA Bibliotheken\V18\ST_Favoriten_V18,,,,
,,200032,0,IO-Link Konfig IFM Abstandssensor,SPS-Baustein (SIEMENS),DEHN,IO_LINK_OGD580,Ansprechpartner,ST,Version,V18 Upd.3,Bibliothekskonformität,Ja,,V:\BMB\Team\ST\TIA Bibliotheken\V18\ST_Favoriten_V18,,,,
,,200033,0,,,,,,,,,,,,,,,,
,,200034,0,,,,,,,,,,,,,,,,
,,200035,0,,,,,,,,,,,,,,,,
,,200036,0,,,,,,,,,,,,,,,,
,,200037,0,,,,,,,,,,,,,,,,
,,200038,0,,,,,,,,,,,,,,,,